名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額（百万円）,自己資本比率,ROE,ROA,発行済株式数
リヒトラブ,東証2部,その他製品,情報通信・サービスその他 ,9620.0,379.0,347.0,210.0,13069.0,8681.0,1830.0,1141.0,4174.0,66.4,2.45,1.6,1907850.0
ビューティガレージ,東証1部,卸売業,商社・卸売 ,9642.0,555.0,534.0,314.0,4144.0,2027.0,269.0,246.0,10667.0,48.9,16.64,8.31,5976000.0
ケル,東証JQS,電気機器,電機・精密 ,9671.0,843.0,853.0,584.0,14541.0,10964.0,1617.0,820.0,9075.0,75.4,5.44,4.15,7743000.0
Aiming,マザーズ,情報・通信業,情報通信・サービスその他 ,9689.0,-310.0,-349.0,-551.0,8914.0,6055.0,2929.0,1887.0,23352.0,67.9,-8.3,-5.91,34493500.0
デュアルタップ,東証JQS,不動産業,不動産 ,9697.0,453.0,345.0,220.0,5744.0,1380.0,205.0,3642.0,1885.0,24.0,19.14,4.16,1123500.0
グローバルダイニング,東証2部,小売業,小売 ,9755.0,-8.0,9.0,-80.0,7608.0,4102.0,1474.0,1616.0,2581.0,53.9,-1.92,-1.07,10081800.0
石川製作所,東証1部,機械,機械 ,9759.0,152.0,134.0,93.0,10646.0,2695.0,2000.0,3732.0,13468.0,25.3,3.6,1.05,6385972.0
やまみ,東証JQS,食料品,食品 ,9793.0,942.0,940.0,630.0,8716.0,4097.0,696.0,2970.0,10980.0,47.0,16.32,7.18,6376100.0
イワブチ,東証JQS,金属製品,建設・資材 ,9811.0,592.0,650.0,439.0,19344.0,15554.0,1496.0,875.0,6468.0,80.4,2.85,2.31,1100000.0
櫻護謨,東証2部,ゴム製品,自動車・輸送機 ,9811.0,945.0,910.0,566.0,13025.0,5918.0,506.0,3259.0,5819.0,45.4,10.04,4.37,10120000.0
バルニバービ,マザーズ,小売業,小売 ,9824.0,605.0,623.0,383.0,6286.0,2223.0,402.0,2317.0,11339.0,35.4,18.66,6.62,4185800.0
ピエトロ,東証1部,食料品,食品 ,9825.0,496.0,474.0,469.0,9619.0,5287.0,1042.0,2138.0,10318.0,55.0,10.31,5.22,6257230.0
ネットマーケティング,東証JQS,サービス業,情報通信・サービスその他 ,9868.0,441.0,423.0,296.0,3908.0,1613.0,366.0,327.0,10143.0,41.3,24.04,8.78,7010000.0
YKT,東証JQS,卸売業,商社・卸売 ,9870.0,410.0,463.0,274.0,8282.0,5645.0,1389.0,942.0,2286.0,68.2,4.95,3.15,11906880.0
エフオン,東証1部,電気・ガス業,電力・ガス ,9920.0,2572.0,2305.0,2004.0,22414.0,9415.0,2164.0,8684.0,24755.0,42.0,23.86,9.05,17758110.0
学究社,東証1部,サービス業,情報通信・サービスその他 ,9924.0,1494.0,1512.0,977.0,5161.0,2782.0,806.0,199.0,16974.0,53.9,36.16,19.01,11101192.0
ラピーヌ,東証2部,繊維製品,素材・化学 ,9939.0,-984.0,-1015.0,-1665.0,9127.0,5299.0,4354.0,2046.0,2192.0,58.1,-27.25,-16.94,2767064.0
クリエートメディック,東証1部,精密機器,電機・精密 ,10003.0,754.0,821.0,516.0,17611.0,12603.0,1461.0,1923.0,9887.0,71.6,4.01,2.97,9664327.0
サムシングホールディングス,東証JQG,建設業,建設・資材 ,10006.0,90.0,77.0,11.0,5539.0,1262.0,484.0,1922.0,1975.0,22.8,0.99,0.2,4114200.0
ヤマシンフィルタ,東証1部,機械,機械 ,10007.0,957.0,934.0,640.0,10158.0,6652.0,822.0,1250.0,50312.0,65.5,9.96,6.5,12438000.0
日本色材工業研究所,東証JQS,化学,素材・化学 ,10007.0,799.0,721.0,532.0,10139.0,2685.0,714.0,4412.0,5952.0,26.5,23.6,5.56,1049688.0
放電精密加工研究所,東証JQS,機械,機械 ,10067.0,381.0,400.0,237.0,15140.0,6941.0,889.0,4417.0,7852.0,45.8,3.49,1.57,7407800.0
コンセック,東証JQS,卸売業,商社・卸売 ,10092.0,101.0,157.0,83.0,11542.0,7536.0,4090.0,1056.0,4436.0,65.3,1.1,0.72,18640112.0
カッシーナ・イクスシー,東証JQS,卸売業,商社・卸売 ,10107.0,465.0,466.0,43.0,8366.0,4035.0,100.0,2148.0,3825.0,48.2,1.06,0.54,4091100.0
グローバルグループ,マザーズ,サービス業,情報通信・サービスその他 ,10113.0,340.0,2000.0,1358.0,11914.0,5242.0,1250.0,3702.0,16012.0,44.0,25.91,11.4,8512560.0
日本タングステン,東証2部,電気機器,電機・精密 ,10124.0,473.0,575.0,469.0,14836.0,8935.0,2509.0,2891.0,7063.0,60.2,5.34,3.17,25777600.0
クロスキャット,東証JQS,情報・通信業,情報通信・サービスその他 ,10153.0,554.0,576.0,417.0,5033.0,2841.0,459.0,500.0,6761.0,56.4,16.06,8.53,9210960.0
ステップ,東証1部,サービス業,情報通信・サービスその他 ,10176.0,2451.0,2485.0,1669.0,19491.0,16512.0,1778.0,1524.0,25022.0,84.7,10.45,8.78,16670000.0
杉村倉庫,東証2部,倉庫・運輸関連業,運輸・物流 ,10190.0,1102.0,1049.0,784.0,24904.0,10794.0,2551.0,11454.0,9965.0,43.3,7.42,3.45,16046310.0
くろがね工作所,東証2部,その他製品,情報通信・サービスその他 ,10196.0,233.0,189.0,157.0,11081.0,4441.0,2998.0,3231.0,2756.0,40.1,3.58,1.41,1857113.0
旭情報サービス,東証2部,情報・通信業,情報通信・サービスその他 ,10225.0,831.0,840.0,603.0,9006.0,7085.0,733.0,230.0,8372.0,78.7,8.75,6.88,8264850.0
エイアンドティー,東証JQS,電気機器,電機・精密 ,10234.0,1015.0,1004.0,651.0,10110.0,6222.0,577.0,1680.0,5663.0,61.5,10.91,6.53,6257900.0
コーセーアールイー,東証2部,不動産業,不動産 ,10245.0,1104.0,1094.0,677.0,12667.0,2984.0,338.0,7873.0,11096.0,23.6,25.12,5.84,8368000.0
デジタル・インフォメーション・テクノロジー,東証1部,情報・通信業,情報通信・サービスその他 ,10273.0,653.0,641.0,466.0,3713.0,2414.0,453.0,36.0,16029.0,65.0,21.32,13.43,7750910.0
ハブ,東証2部,小売業,小売 ,10274.0,763.0,764.0,496.0,5114.0,3467.0,631.0,262.0,11479.0,67.8,15.15,9.68,11265300.0
スターティア,東証1部,卸売業,商社・卸売 ,10282.0,265.0,285.0,5.0,5894.0,3970.0,824.0,546.0,6482.0,67.4,0.12,0.08,10240400.0
美濃窯業,名証2部,ガラス・土石製品,建設・資材 ,10285.0,718.0,772.0,524.0,14247.0,7167.0,877.0,1820.0,4415.0,50.3,7.62,3.78,12909828.0
昭文社,東証1部,情報・通信業,情報通信・サービスその他 ,10314.0,-2276.0,-2206.0,-3423.0,24550.0,19569.0,10141.0,770.0,13597.0,79.7,-16.44,-13.01,18178173.0
パウダーテック,東証JQS,鉄鋼,鉄鋼・非鉄 ,10337.0,1694.0,1679.0,1134.0,12840.0,9442.0,1557.0,300.0,13217.0,73.5,12.62,9.15,14850000.0
イクヨ,東証2部,輸送用機器,自動車・輸送機 ,10341.0,497.0,512.0,346.0,10154.0,3956.0,2298.0,2356.0,2539.0,39.0,9.57,3.56,15385000.0
極東証券,東証1部,証券、商品先物取引業,金融（除く銀行） ,10341.0,4244.0,4735.0,4688.0,72263.0,45627.0,5251.0,13350.0,38283.0,63.1,10.58,6.04,32779000.0
オールアバウト,東証JQS,サービス業,情報通信・サービスその他 ,10372.0,556.0,538.0,232.0,5045.0,3647.0,1199.0,21.0,22046.0,72.3,6.55,4.92,13533700.0
IMV,東証JQS,精密機器,電機・精密 ,10374.0,1080.0,954.0,583.0,11649.0,5072.0,464.0,2940.0,12735.0,43.5,12.13,5.15,16957016.0
有機合成薬品工業,東証1部,化学,素材・化学 ,10396.0,454.0,411.0,355.0,19474.0,10916.0,3471.0,4057.0,6394.0,56.1,3.31,1.9,21974000.0
フルテック,東証2部,サービス業,情報通信・サービスその他 ,10420.0,587.0,658.0,334.0,9359.0,5352.0,329.0,226.0,5937.0,57.2,6.8,3.75,5367800.0
愛光電気,東証JQS,卸売業,商社・卸売 ,10429.0,266.0,269.0,102.0,5771.0,2137.0,611.0,1800.0,1293.0,37.0,4.86,1.71,882200.0
藍澤證券,東証1部,証券、商品先物取引業,金融（除く銀行） ,10461.0,-278.0,600.0,1090.0,96761.0,53882.0,8000.0,5095.0,34833.0,55.7,2.0,1.23,49525649.0
日本コンセプト,東証1部,倉庫・運輸関連業,運輸・物流 ,10494.0,1716.0,1583.0,1079.0,14819.0,7042.0,600.0,4599.0,15927.0,47.5,16.11,7.24,13098000.0
重松製作所,東証JQS,その他製品,情報通信・サービスその他 ,10509.0,64.0,68.0,98.0,11275.0,4622.0,570.0,2661.0,5537.0,41.0,2.15,0.86,7200000.0
アバント,東証JQG,情報・通信業,情報通信・サービスその他 ,10532.0,1306.0,1308.0,663.0,7325.0,3873.0,288.0,28.0,17349.0,52.9,18.46,9.45,9388000.0
石井食品,東証2部,食料品,食品 ,10538.0,-38.0,-32.0,-65.0,8293.0,3620.0,919.0,2630.0,3752.0,43.7,-1.79,-0.81,18392000.0
ティア,東証1部,サービス業,情報通信・サービスその他 ,10594.0,1094.0,1072.0,712.0,10069.0,5561.0,1159.0,2676.0,17505.0,55.2,13.52,7.05,20167200.0
ジャパンシステム,東証JQS,情報・通信業,情報通信・サービスその他 ,10598.0,358.0,374.0,221.0,6217.0,4543.0,1302.0,150.0,11880.0,73.1,4.96,3.69,26051832.0
アトミクス,東証JQS,化学,素材・化学 ,10628.0,533.0,527.0,763.0,14350.0,9323.0,1040.0,946.0,7459.0,65.0,8.52,5.34,7242000.0
タカチホ,東証JQS,卸売業,商社・卸売 ,10640.0,248.0,216.0,134.0,5840.0,1674.0,1000.0,2798.0,1280.0,28.7,8.35,2.16,7275000.0
スカラ,東証1部,情報・通信業,情報通信・サービスその他 ,10663.0,3736.0,3728.0,2987.0,14941.0,5905.0,1576.0,4767.0,13634.0,39.5,60.85,24.31,16852859.0
桂川電機,東証JQS,機械,機械 ,10694.0,-993.0,-1182.0,-1056.0,12390.0,8210.0,4651.0,731.0,2251.0,66.3,-11.97,-8.29,15525000.0
ディア・ライフ,東証1部,不動産業,不動産 ,10697.0,1622.0,1549.0,1018.0,13790.0,5251.0,1008.0,7375.0,17027.0,38.1,20.14,8.31,33255200.0
京都ホテル,東証2部,サービス業,情報通信・サービスその他 ,10707.0,613.0,339.0,261.0,18698.0,2041.0,1268.0,13927.0,8585.0,10.9,13.54,1.39,11091400.0
東京楽天地,東証1部,不動産業,不動産 ,10759.0,1461.0,1463.0,821.0,42306.0,29027.0,3046.0,5680.0,36072.0,68.6,2.86,1.91,6511218.0
日本ユピカ,東証JQS,化学,素材・化学 ,10773.0,749.0,713.0,512.0,12941.0,8210.0,1100.0,84.0,3218.0,63.4,6.41,3.99,5500000.0
東和フードサービス,東証JQS,小売業,小売 ,10787.0,533.0,553.0,187.0,7062.0,4737.0,673.0,423.0,12423.0,67.1,3.97,2.64,4093200.0
わかもと製薬,東証1部,医薬品,医薬品 ,10830.0,87.0,102.0,94.0,17888.0,13896.0,3395.0,460.0,9859.0,77.7,0.68,0.52,34838325.0
テクノスマート,東証2部,機械,機械 ,10837.0,1008.0,1032.0,692.0,18364.0,10923.0,1003.0,841.0,20475.0,59.5,6.56,4.05,10821720.0
NCホールディングス,東証1部,機械,機械 ,10880.0,187.0,235.0,-122.0,12452.0,7309.0,3800.0,170.0,5300.0,58.7,-1.67,-0.98,6416046.0
成学社,東証JQS,サービス業,情報通信・サービスその他 ,10888.0,206.0,267.0,132.0,6829.0,2285.0,235.0,2123.0,5841.0,33.5,5.88,1.97,5876000.0
秀英予備校,東証1部,サービス業,情報通信・サービスその他 ,10927.0,265.0,199.0,353.0,13917.0,4643.0,2089.0,3843.0,3248.0,33.4,7.78,2.51,6710000.0
チャーム・ケア・コーポレーション,東証JQS,サービス業,情報通信・サービスその他 ,10930.0,891.0,843.0,536.0,13396.0,2160.0,192.0,6407.0,15210.0,16.1,28.21,4.31,6528000.0
佐渡汽船,東証JQS,海運業,運輸・物流 ,10959.0,-172.0,-305.0,-529.0,15858.0,2118.0,843.0,10788.0,3512.0,13.4,-22.17,-3.25,14275450.0
トーイン,東証JQS,その他製品,情報通信・サービスその他 ,10959.0,-104.0,-127.0,-16.0,16817.0,8615.0,2244.0,3390.0,3858.0,51.2,-0.19,-0.1,6377500.0
ベガコーポレーション,マザーズ,小売業,小売 ,10960.0,828.0,808.0,786.0,5336.0,3580.0,874.0,820.0,16717.0,67.1,27.49,16.9,10344800.0
森下仁丹,東証2部,医薬品,医薬品 ,10967.0,427.0,443.0,240.0,14320.0,9284.0,3537.0,1567.0,12388.0,64.8,2.61,1.72,20750000.0
プロルート丸光,東証JQS,卸売業,商社・卸売 ,11041.0,-17.0,-177.0,261.0,5490.0,1988.0,100.0,1767.0,4258.0,36.2,14.16,3.07,20473440.0
日本フエルト,東証1部,繊維製品,素材・化学 ,11080.0,638.0,794.0,504.0,22030.0,16077.0,2435.0,780.0,9961.0,73.0,3.21,2.29,19842089.0
国際計測器,東証JQS,精密機器,電機・精密 ,11088.0,959.0,957.0,547.0,16448.0,9758.0,1023.0,2207.0,16884.0,59.3,5.57,3.24,14200000.0
アピックヤマダ,東証2部,機械,機械 ,11098.0,397.0,396.0,335.0,12477.0,3695.0,5837.0,3744.0,7704.0,29.6,9.38,2.62,12969000.0
ユーグレナ,東証1部,食料品,食品 ,11103.0,693.0,944.0,673.0,15526.0,13392.0,4862.0,71.0,96457.0,86.3,5.17,4.48,84389616.0
丸千代山岡家,東証JQS,小売業,小売 ,11110.0,429.0,455.0,129.0,5144.0,1562.0,291.0,2499.0,2955.0,30.4,8.51,2.57,2469000.0
高見沢サイバネティックス,東証JQS,機械,機械 ,11128.0,140.0,113.0,19.0,14929.0,2693.0,700.0,5261.0,4208.0,18.0,0.71,0.13,9050000.0
アグレ都市デザイン,東証2部,不動産業,不動産 ,11134.0,709.0,612.0,422.0,9830.0,2159.0,381.0,6363.0,4078.0,22.0,21.25,5.21,2841600.0
東海汽船,東証2部,海運業,運輸・物流 ,11174.0,414.0,480.0,353.0,13366.0,4772.0,1100.0,5331.0,4585.0,35.7,7.6,2.59,2200000.0
沖電線,東証1部,非鉄金属,鉄鋼・非鉄 ,11176.0,760.0,765.0,536.0,15193.0,9849.0,4304.0,190.0,13491.0,64.8,5.56,3.64,38990870.0
トーアミ,東証2部,金属製品,建設・資材 ,11192.0,243.0,351.0,339.0,14606.0,11023.0,1290.0,1150.0,3501.0,75.5,3.12,2.31,6400000.0
FRONTEO,マザーズ,サービス業,情報通信・サービスその他 ,11207.0,-1206.0,-1254.0,-948.0,16158.0,4778.0,2481.0,7886.0,23453.0,29.6,-20.74,-6.52,38011862.0
インプレスホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,11280.0,-61.0,7.0,9.0,11287.0,6881.0,5341.0,911.0,5793.0,61.0,0.13,0.08,37371500.0
新日本建物,東証JQS,不動産業,不動産 ,11301.0,835.0,730.0,669.0,9964.0,3635.0,854.0,5703.0,4640.0,36.5,19.39,7.42,19914617.0
レイ,東証JQS,サービス業,情報通信・サービスその他 ,11314.0,363.0,353.0,217.0,8479.0,3727.0,471.0,1972.0,4485.0,44.0,5.95,2.57,14328976.0
タツモ,東証JQS,機械,機械 ,11329.0,1346.0,1397.0,1284.0,13918.0,4825.0,1627.0,2904.0,23500.0,34.7,30.33,10.25,11508300.0
田谷,東証1部,サービス業,情報通信・サービスその他 ,11401.0,28.0,-31.0,-177.0,6114.0,2598.0,1480.0,1499.0,3478.0,42.5,-6.59,-2.74,5100000.0
遠藤製作所,東証JQS,その他製品,情報通信・サービスその他 ,11426.0,1231.0,1327.0,1051.0,17718.0,13962.0,1241.0,1720.0,6014.0,78.8,7.72,5.96,9441800.0
スリープログループ,東証2部,サービス業,情報通信・サービスその他 ,11447.0,267.0,265.0,174.0,4607.0,2265.0,1006.0,655.0,7140.0,49.2,8.1,3.92,7126070.0
ホクシン,東証1部,その他製品,情報通信・サービスその他 ,11497.0,800.0,792.0,772.0,11820.0,4651.0,2343.0,3980.0,6072.0,39.3,18.1,6.73,28373005.0
セキ,東証JQS,その他製品,情報通信・サービスその他 ,11506.0,312.0,471.0,220.0,17246.0,13141.0,1201.0,1326.0,6604.0,76.2,1.69,1.32,4508000.0
ひらまつ,東証1部,小売業,小売 ,11507.0,1893.0,1911.0,1115.0,20143.0,4334.0,1213.0,13573.0,29843.0,21.5,24.23,6.32,48604200.0
日本精鉱,東証2部,非鉄金属,鉄鋼・非鉄 ,11511.0,966.0,955.0,644.0,10716.0,5754.0,1018.0,2570.0,8469.0,53.7,11.74,6.14,13029500.0
システムリサーチ,東証1部,情報・通信業,情報通信・サービスその他 ,11539.0,938.0,924.0,641.0,7653.0,4138.0,550.0,1620.0,9183.0,54.1,16.57,8.69,4180000.0
