名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額（百万円）,自己資本比率,ROE,ROA,発行済株式数
メドレックス,マザーズ,医薬品,医薬品 ,22.0,-1342.0,-1301.0,-1259.0,3079.0,2431.0,5101.0,394.0,6011.0,79.0,-48.75,-41.58,8514700.0
UMNファーマ,マザーズ,医薬品,医薬品 ,71.0,-3564.0,-3857.0,-14099.0,1510.0,-10926.0,10117.0,11210.0,3537.0,30.0,-282.08,-211.73,12196500.0
ヘリオス,マザーズ,医薬品,医薬品 ,77.0,-3507.0,-3426.0,-3433.0,9174.0,5964.0,5394.0,2500.0,64796.0,65.0,-44.78,-34.92,46315800.0
オンコリスバイオファーマ,マザーズ,医薬品,医薬品 ,178.0,-861.0,-864.0,-931.0,3140.0,2597.0,5090.0,363.0,7074.0,82.7,-30.57,-26.06,10916800.0
ウインテスト,東証2部,電気機器,電機・精密 ,213.0,-213.0,-222.0,-226.0,734.0,638.0,1310.0,49.0,2100.0,86.9,-32.78,-27.51,13040900.0
ナノキャリア,マザーズ,医薬品,医薬品 ,218.0,-2712.0,-2619.0,-2676.0,12939.0,9834.0,11085.0,2475.0,29030.0,76.0,-24.64,-18.89,43199384.0
RISE,東証JQS,不動産業,不動産 ,246.0,-162.0,-161.0,-162.0,3010.0,2535.0,2000.0,302.0,3552.0,84.2,-5.47,-4.65,96013277.0
カイオム・バイオサイエンス,マザーズ,医薬品,医薬品 ,252.0,-1042.0,-1047.0,-1491.0,4789.0,4528.0,5186.0,54.0,9856.0,94.6,-32.9,-30.72,26781500.0
燦キャピタルマネージメント,東証JQS,サービス業,情報通信・サービスその他 ,289.0,-249.0,-322.0,-1008.0,1508.0,663.0,1940.0,101.0,3736.0,44.0,-226.26,-76.28,42941244.0
石垣食品,東証JQS,食料品,食品 ,405.0,-51.0,-53.0,-54.0,191.0,40.0,300.0,98.0,746.0,20.9,-81.2,-25.12,3390000.0
北日本紡績,東証2部,繊維製品,素材・化学 ,413.0,2.0,4.0,5.0,1265.0,474.0,714.0,481.0,1717.0,37.5,1.05,0.4,12911000.0
JALCOホールディングス,東証JQS,電気機器,電機・精密 ,418.0,115.0,85.0,154.0,6753.0,3093.0,1884.0,3174.0,5678.0,45.8,5.24,2.46,51156132.0
ジェイ・エスコム ホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,460.0,-59.0,-59.0,-142.0,398.0,211.0,1060.0,3.0,1330.0,53.0,-57.37,-33.02,10472990.0
fonfun,東証JQS,情報・通信業,情報通信・サービスその他 ,592.0,-36.0,-26.0,-30.0,656.0,347.0,2287.0,209.0,1261.0,52.9,-8.28,-4.29,2866720.0
ジオネクスト,東証JQG,情報・通信業,情報通信・サービスその他 ,593.0,67.0,-34.0,-570.0,1810.0,1317.0,1572.0,331.0,5595.0,72.8,-64.52,-37.8,111890380.0
クレアホールディングス,東証2部,建設業,建設・資材 ,604.0,-398.0,-402.0,-405.0,2932.0,2487.0,9104.0,214.0,2560.0,84.8,-16.51,-14.73,91412356.0
アークン,マザーズ,情報・通信業,情報通信・サービスその他 ,609.0,-110.0,-112.0,-357.0,936.0,371.0,267.0,40.0,2397.0,39.6,-64.91,-32.06,4439200.0
スリー・ディー・マトリックス,東証JQG,精密機器,電機・精密 ,615.0,-1240.0,-1270.0,-1392.0,3423.0,2288.0,5955.0,450.0,15012.0,66.8,-47.14,-35.32,22207200.0
アイフリークモバイル,東証JQS,情報・通信業,情報通信・サービスその他 ,707.0,12.0,4.0,1.0,722.0,327.0,780.0,300.0,4051.0,45.3,0.5,0.16,13594300.0
ジェクシード,東証JQS,情報・通信業,情報通信・サービスその他 ,712.0,-57.0,-60.0,-68.0,383.0,213.0,1037.0,80.0,2257.0,55.6,-27.47,-15.76,18500732.0
免疫生物研究所,東証JQG,医薬品,医薬品 ,741.0,-1156.0,-1170.0,-2094.0,3425.0,1337.0,2271.0,1994.0,5973.0,39.0,-101.7,-61.76,7419590.0
GFA,東証JQS,その他金融業,金融（除く銀行） ,765.0,-23.0,-27.0,-49.0,869.0,694.0,452.0,149.0,7076.0,79.9,-6.82,-5.54,8334800.0
イメージ情報開発,東証JQG,情報・通信業,情報通信・サービスその他 ,804.0,-49.0,-42.0,-255.0,662.0,386.0,467.0,40.0,1424.0,58.3,-49.66,-31.0,1780000.0
カルナバイオサイエンス,東証JQG,医薬品,医薬品 ,811.0,-423.0,-440.0,-289.0,2566.0,1735.0,3042.0,697.0,11541.0,67.6,-16.06,-11.79,9367300.0
ALBERT,マザーズ,情報・通信業,情報通信・サービスその他 ,812.0,-107.0,-121.0,-279.0,3152.0,821.0,787.0,2168.0,3010.0,26.0,-33.25,-13.53,2377900.0
原弘産,東証2部,不動産業,不動産 ,827.0,-80.0,-104.0,-105.0,2959.0,1107.0,1550.0,1546.0,1990.0,37.4,-9.08,-3.46,73692398.0
夢みつけ隊,東証JQS,小売業,小売 ,862.0,76.0,134.0,120.0,3120.0,1709.0,534.0,1285.0,1558.0,54.8,7.35,3.8,10458000.0
新華ホールディングス・リミテッド,東証2部外国,情報・通信業,情報通信・サービスその他 ,877.0,-495.0,-332.0,-401.0,2113.0,1126.0,2.0,384.0,3039.0,53.3,-31.89,-17.91,15504213.0
花月園観光,東証2部,サービス業,情報通信・サービスその他 ,891.0,63.0,52.0,-302.0,1178.0,610.0,883.0,414.0,1837.0,51.8,-39.71,-21.61,17666000.0
フォーサイド,東証JQS,情報・通信業,情報通信・サービスその他 ,935.0,24.0,41.0,34.0,1205.0,889.0,525.0,175.0,9267.0,73.8,5.26,3.44,27175204.0
サンバイオ,マザーズ,医薬品,医薬品 ,949.0,-1932.0,-2166.0,-1835.0,6292.0,4579.0,3852.0,1299.0,65079.0,72.8,-33.53,-25.2,45319676.0
ホロン,東証JQS,精密機器,電機・精密 ,959.0,131.0,129.0,109.0,2079.0,1083.0,692.0,592.0,2298.0,52.1,10.52,5.52,3340500.0
メドピア,マザーズ,サービス業,情報通信・サービスその他 ,973.0,57.0,51.0,23.0,1754.0,1209.0,506.0,376.0,5721.0,68.9,1.9,1.31,8734450.0
グレイステクノロジー,マザーズ,サービス業,情報通信・サービスその他 ,1010.0,300.0,294.0,196.0,1273.0,865.0,62.0,174.0,21173.0,67.9,39.56,22.22,4370000.0
グローバルウェイ,マザーズ,情報・通信業,情報通信・サービスその他 ,1022.0,-127.0,-105.0,-120.0,1022.0,565.0,211.0,264.0,4173.0,55.3,-26.0,-14.33,1159100.0
アビックス,東証JQS,その他製品,情報通信・サービスその他 ,1032.0,84.0,64.0,25.0,1295.0,455.0,523.0,685.0,3512.0,35.1,6.29,1.91,23892000.0
パルマ,マザーズ,不動産業,不動産 ,1087.0,164.0,163.0,116.0,1225.0,687.0,282.0,336.0,2348.0,56.1,18.52,11.32,1349200.0
オウチーノ,マザーズ,サービス業,情報通信・サービスその他 ,1108.0,-123.0,-132.0,-384.0,1767.0,1327.0,813.0,274.0,5658.0,75.1,-36.19,-25.02,2382180.0
JIG-SAW,マザーズ,情報・通信業,情報通信・サービスその他 ,1110.0,255.0,253.0,183.0,1334.0,966.0,323.0,109.0,38996.0,72.4,18.94,13.72,6554000.0
カナミックネットワーク,マザーズ,情報・通信業,情報通信・サービスその他 ,1129.0,264.0,252.0,165.0,1013.0,744.0,180.0,54.0,15282.0,73.4,30.47,19.6,8022000.0
フュージョン,札幌ア,情報・通信業,情報通信・サービスその他 ,1139.0,68.0,56.0,35.0,767.0,414.0,212.0,162.0,1083.0,54.0,10.49,4.87,720000.0
アイビーシー,東証1部,情報・通信業,情報通信・サービスその他 ,1141.0,292.0,333.0,195.0,1668.0,1366.0,404.0,84.0,5225.0,81.9,15.39,12.38,5529600.0
MRT,マザーズ,サービス業,情報通信・サービスその他 ,1154.0,156.0,141.0,88.0,1930.0,1440.0,426.0,30.0,8490.0,74.6,6.6,4.96,5250400.0
テスク,名証2部,情報・通信業,情報通信・サービスその他 ,1176.0,65.0,72.0,44.0,1192.0,829.0,302.0,6.0,844.0,69.5,5.31,3.61,3500000.0
農業総合研究所,マザーズ,卸売業,商社・卸売 ,1195.0,156.0,162.0,107.0,1100.0,475.0,199.0,119.0,11714.0,43.2,40.53,12.98,4191000.0
カーディナル,東証JQG,その他製品,情報通信・サービスその他 ,1216.0,129.0,148.0,50.0,2821.0,2225.0,323.0,144.0,1725.0,78.9,2.3,1.8,2143000.0
クラウドワークス,マザーズ,情報・通信業,情報通信・サービスその他 ,1228.0,-593.0,-590.0,-647.0,2911.0,1756.0,1690.0,32.0,11954.0,60.3,-36.85,-22.23,13553660.0
フェニックスバイオ,マザーズ,サービス業,情報通信・サービスその他 ,1228.0,142.0,133.0,128.0,2385.0,2103.0,2229.0,160.0,4184.0,88.2,6.28,5.42,2905500.0
宮越ホールディングス,東証1部,電気機器,電機・精密 ,1235.0,723.0,733.0,376.0,15113.0,7288.0,2925.0,5845.0,16058.0,48.2,5.89,2.41,30014943.0
イノベーション,マザーズ,情報・通信業,情報通信・サービスその他 ,1257.0,172.0,195.0,121.0,1235.0,828.0,337.0,149.0,3549.0,67.0,22.89,13.08,1924600.0
リプロセル,東証JQG,化学,素材・化学 ,1257.0,-944.0,-937.0,-911.0,7854.0,7360.0,5490.0,84.0,22753.0,93.7,-12.46,-11.52,63912891.0
sMedio,マザーズ,情報・通信業,情報通信・サービスその他 ,1282.0,175.0,38.0,-3.0,2166.0,1652.0,501.0,382.0,4411.0,76.3,-0.19,-0.15,2023421.0
ジーエヌアイグループ,マザーズ,医薬品,医薬品 ,1306.0,-276.0,-385.0,-513.0,5818.0,3261.0,5840.0,678.0,56454.0,56.1,-14.46,-8.41,134413831.0
ジェイホールディングス,東証JQS,卸売業,商社・卸売 ,1312.0,20.0,9.0,20.0,177.0,26.0,323.0,50.0,1444.0,14.7,125.0,9.64,1917500.0
鎌倉新書,東証1部,サービス業,情報通信・サービスその他 ,1332.0,327.0,324.0,206.0,1122.0,908.0,253.0,25.0,13969.0,80.9,26.91,20.7,9142000.0
CRI・ミドルウェア,マザーズ,情報・通信業,情報通信・サービスその他 ,1334.0,326.0,314.0,203.0,2456.0,1830.0,420.0,310.0,10233.0,74.5,12.3,9.7,4931618.0
メディアファイブ,福岡Q,情報・通信業,情報通信・サービスその他 ,1360.0,44.0,33.0,13.0,606.0,403.0,179.0,7.0,705.0,66.5,3.24,2.13,909600.0
エディア,マザーズ,情報・通信業,情報通信・サービスその他 ,1364.0,54.0,38.0,-32.0,1168.0,733.0,481.0,293.0,5039.0,62.8,-5.4,-3.34,3465600.0
エルテス,マザーズ,情報・通信業,情報通信・サービスその他 ,1379.0,183.0,170.0,104.0,1927.0,1574.0,751.0,41.0,11957.0,81.7,8.15,6.68,5088000.0
ASIAN STAR,東証JQS,不動産業,不動産 ,1410.0,6.0,-3.0,169.0,3920.0,2084.0,1931.0,980.0,2755.0,53.2,8.89,4.98,18008200.0
武蔵野興業,東証2部,サービス業,情報通信・サービスその他 ,1432.0,38.0,50.0,78.0,6230.0,3529.0,1004.0,353.0,2972.0,56.6,2.24,1.28,10500000.0
細谷火工,東証JQS,化学,素材・化学 ,1466.0,164.0,163.0,114.0,3424.0,2171.0,201.0,813.0,6294.0,63.4,5.42,3.46,4032000.0
JMC,マザーズ,非鉄金属,鉄鋼・非鉄 ,1477.0,139.0,172.0,119.0,2471.0,1814.0,757.0,165.0,2937.0,73.4,9.45,6.21,2604000.0
イメージ ワン,東証JQS,卸売業,商社・卸売 ,1482.0,27.0,17.0,10.0,1490.0,851.0,1240.0,278.0,1885.0,57.1,1.52,0.72,4921100.0
アプリックス,マザーズ,情報・通信業,情報通信・サービスその他 ,1526.0,-929.0,-929.0,-985.0,2362.0,1752.0,13882.0,148.0,6531.0,74.2,-55.48,-38.61,14353930.0
メディアシーク,マザーズ,情報・通信業,情報通信・サービスその他 ,1527.0,-14.0,100.0,59.0,2469.0,1703.0,823.0,506.0,5020.0,69.0,3.61,2.5,9766800.0
小島鐵工所,東証2部,機械,機械 ,1540.0,-65.0,-49.0,-69.0,3041.0,768.0,501.0,1530.0,1204.0,25.3,-8.45,-2.06,10035647.0
コムシード,名古屋セ,情報・通信業,情報通信・サービスその他 ,1547.0,44.0,40.0,30.0,1181.0,703.0,859.0,189.0,2835.0,59.5,4.9,3.11,5602129.0
チェンジ,マザーズ,情報・通信業,情報通信・サービスその他 ,1550.0,186.0,175.0,118.0,1242.0,850.0,223.0,74.0,28286.0,68.4,19.34,11.6,3240100.0
トライアイズ,東証JQG,サービス業,情報通信・サービスその他 ,1578.0,-336.0,-447.0,-494.0,5860.0,4929.0,5000.0,209.0,3411.0,84.1,-9.32,-8.07,9500000.0
バリューゴルフ,マザーズ,情報・通信業,情報通信・サービスその他 ,1586.0,92.0,89.0,58.0,1619.0,713.0,364.0,690.0,3592.0,44.0,12.47,5.46,1735100.0
エスポア,名古屋セ,不動産業,不動産 ,1600.0,185.0,103.0,45.0,9803.0,1000.0,851.0,8053.0,579.0,10.2,4.6,0.45,1524000.0
エムケイシステム,東証JQS,情報・通信業,情報通信・サービスその他 ,1600.0,414.0,413.0,259.0,1932.0,1158.0,219.0,376.0,5509.0,59.9,22.37,13.41,2714000.0
フルッタフルッタ,マザーズ,食料品,食品 ,1619.0,-506.0,-589.0,-591.0,2277.0,110.0,461.0,1842.0,1108.0,4.8,-192.51,-23.68,1292640.0
インフォテリア,マザーズ,情報・通信業,情報通信・サービスその他 ,1621.0,300.0,303.0,230.0,3600.0,2873.0,1138.0,166.0,22462.0,79.8,8.34,6.58,17480165.0
フィル・カンパニー,マザーズ,建設業,建設・資材 ,1668.0,206.0,228.0,171.0,1476.0,639.0,219.0,48.0,9613.0,43.3,39.54,13.55,5070000.0
ソケッツ,マザーズ,情報・通信業,情報通信・サービスその他 ,1709.0,41.0,38.0,71.0,1206.0,868.0,497.0,75.0,3709.0,72.0,8.54,5.45,2461000.0
アートグリーン,名古屋セ,小売業,小売 ,1715.0,55.0,51.0,38.0,703.0,374.0,139.0,201.0,2240.0,53.2,12.24,6.04,1121200.0
うるる,マザーズ,情報・通信業,情報通信・サービスその他 ,1722.0,241.0,214.0,241.0,2519.0,1653.0,944.0,25.0,12073.0,65.6,26.1,14.04,3241100.0
ソフトフロントホールディングス,東証JQG,情報・通信業,情報通信・サービスその他 ,1737.0,-672.0,-673.0,-665.0,4266.0,1279.0,3989.0,1549.0,4657.0,30.0,-51.81,-23.65,22284520.0
バリューデザイン,マザーズ,情報・通信業,情報通信・サービスその他 ,1738.0,-12.0,-44.0,-87.0,1308.0,785.0,694.0,224.0,3216.0,60.0,-16.22,-7.62,1452500.0
ウェルス・マネジメント,東証2部,情報・通信業,情報通信・サービスその他 ,1767.0,252.0,1093.0,992.0,12203.0,2589.0,880.0,8908.0,8686.0,21.2,46.94,13.63,4136100.0
ホープ,マザーズ,サービス業,情報通信・サービスその他 ,1774.0,23.0,34.0,17.0,1681.0,571.0,246.0,8.0,1746.0,34.0,3.04,1.04,1394200.0
省電舎ホールディングス,東証2部,建設業,建設・資材 ,1785.0,-117.0,-112.0,-58.0,2190.0,859.0,997.0,611.0,1924.0,39.2,-10.09,-3.73,2702173.0
エコナックホールディングス,東証1部,不動産業,不動産 ,1789.0,99.0,61.0,24.0,5697.0,3362.0,3527.0,1803.0,6580.0,59.0,0.72,0.41,85457466.0
ワイエスフード,東証JQS,小売業,小売 ,1793.0,-37.0,-43.0,-105.0,4027.0,1848.0,1002.0,1554.0,964.0,45.9,-5.48,-2.54,3873000.0
テラ,東証JQS,サービス業,情報通信・サービスその他 ,1801.0,-621.0,-667.0,-918.0,1537.0,516.0,1346.0,532.0,9024.0,33.6,-93.77,-46.91,16995156.0
コラボス,マザーズ,情報・通信業,情報通信・サービスその他 ,1814.0,292.0,289.0,194.0,1720.0,1267.0,301.0,10.0,3759.0,73.7,16.59,12.12,1425400.0
エム・エイチ・グループ,東証JQS,サービス業,情報通信・サービスその他 ,1862.0,-39.0,-67.0,-127.0,1363.0,586.0,500.0,100.0,3026.0,43.0,-19.05,-8.62,11332100.0
ビリングシステム,マザーズ,情報・通信業,情報通信・サービスその他 ,1865.0,223.0,222.0,-55.0,5874.0,1693.0,1237.0,215.0,12571.0,28.8,-3.16,-0.89,1641100.0
ピクセラ,東証2部,電気機器,電機・精密 ,1901.0,-393.0,-453.0,-481.0,1240.0,671.0,2049.0,116.0,9803.0,54.1,-106.65,-39.95,46678981.0
ロゼッタ,マザーズ,サービス業,情報通信・サービスその他 ,1908.0,226.0,234.0,169.0,2850.0,2179.0,221.0,326.0,14842.0,76.5,9.69,7.47,9967860.0
メディネット,マザーズ,サービス業,情報通信・サービスその他 ,1909.0,-1681.0,-1823.0,-1643.0,7646.0,5887.0,6778.0,875.0,13069.0,77.0,-25.22,-19.86,103718323.0
メディア工房,マザーズ,情報・通信業,情報通信・サービスその他 ,1940.0,26.0,-60.0,-139.0,3260.0,1756.0,451.0,1291.0,6622.0,53.9,-7.37,-4.16,11300000.0
グランディーズ,マザーズ,不動産業,不動産 ,1943.0,303.0,309.0,196.0,1598.0,1309.0,268.0,98.0,1696.0,81.9,16.11,13.49,3837900.0
光・彩,東証JQS,その他製品,情報通信・サービスその他 ,1979.0,2.0,2.0,2.0,1799.0,1165.0,602.0,418.0,1006.0,64.8,0.17,0.11,396000.0
カワサキ,東証2部,卸売業,商社・卸売 ,1980.0,135.0,45.0,33.0,6336.0,3715.0,564.0,1913.0,2180.0,58.6,0.88,0.54,1450500.0
アルチザネットワークス,東証2部,電気機器,電機・精密 ,1991.0,-155.0,-138.0,-180.0,4721.0,4209.0,1359.0,79.0,8176.0,89.2,-4.2,-3.84,9562000.0
インサイト,札幌ア,サービス業,情報通信・サービスその他 ,2007.0,18.0,21.0,4.0,957.0,469.0,139.0,187.0,526.0,49.0,0.84,0.46,1605000.0
モルフォ,マザーズ,情報・通信業,情報通信・サービスその他 ,2143.0,824.0,753.0,507.0,4063.0,3755.0,1518.0,49.0,24540.0,92.4,16.68,14.48,5271800.0
インスペック,東証2部,電気機器,電機・精密 ,2159.0,136.0,134.0,106.0,2490.0,806.0,537.0,862.0,4595.0,32.4,14.96,4.6,3258600.0
パルステック工業,東証2部,電気機器,電機・精密 ,2163.0,345.0,363.0,339.0,3201.0,2259.0,1491.0,117.0,2898.0,70.6,16.22,11.13,13934592.0
五洋インテックス,東証JQS,卸売業,商社・卸売 ,2164.0,-22.0,-27.0,-24.0,1836.0,828.0,1157.0,668.0,12324.0,45.1,-3.1,-1.44,20203174.0
ホットリンク,マザーズ,情報・通信業,情報通信・サービスその他 ,2187.0,-654.0,-671.0,-639.0,4329.0,1890.0,1245.0,1939.0,7472.0,43.7,-38.14,-14.08,12972300.0
日本動物高度医療センター,マザーズ,サービス業,情報通信・サービスその他 ,2191.0,294.0,279.0,229.0,5125.0,1228.0,333.0,3607.0,5022.0,24.0,20.6,4.93,2380200.0
ヒーハイスト精工,東証JQS,機械,機械 ,2201.0,145.0,133.0,84.0,4535.0,3106.0,717.0,513.0,3666.0,68.5,2.74,1.95,6245000.0
マルマエ,マザーズ,機械,機械 ,2242.0,488.0,458.0,363.0,2569.0,978.0,135.0,1234.0,14520.0,38.1,42.88,15.26,11911600.0
アルファクス・フード・システム,東証JQG,情報・通信業,情報通信・サービスその他 ,2255.0,191.0,163.0,127.0,1723.0,568.0,537.0,762.0,3135.0,33.0,25.17,7.77,2513800.0
ピーエイ,東証2部,サービス業,情報通信・サービスその他 ,2265.0,32.0,70.0,27.0,2003.0,1043.0,514.0,651.0,2021.0,52.1,2.59,1.35,11229800.0
大和コンピューター,東証JQS,情報・通信業,情報通信・サービスその他 ,2268.0,300.0,315.0,217.0,3905.0,3205.0,382.0,8.0,3079.0,82.1,7.02,5.74,2720223.0
アクロディア,マザーズ,情報・通信業,情報通信・サービスその他 ,2280.0,-330.0,-368.0,-504.0,1169.0,333.0,409.0,335.0,6938.0,28.5,-151.35,-43.11,19166093.0
リファインバース,マザーズ,サービス業,情報通信・サービスその他 ,2294.0,280.0,264.0,315.0,2736.0,814.0,404.0,1179.0,7600.0,29.8,57.17,14.9,2989950.0
ASJ,マザーズ,情報・通信業,情報通信・サービスその他 ,2295.0,-40.0,-41.0,-67.0,3908.0,2064.0,919.0,991.0,16617.0,52.8,-3.29,-1.69,7947100.0
イナリサーチ,東証JQS,サービス業,情報通信・サービスその他 ,2295.0,56.0,23.0,31.0,2888.0,561.0,684.0,1365.0,2087.0,19.4,5.71,1.12,2998800.0
AppBank,マザーズ,サービス業,情報通信・サービスその他 ,2332.0,-107.0,-145.0,-80.0,2203.0,1061.0,99.0,829.0,3943.0,48.2,-7.31,-3.27,6798000.0
エリアクエスト,東証2部,不動産業,不動産 ,2341.0,420.0,401.0,255.0,3226.0,1413.0,991.0,471.0,3465.0,43.8,19.54,8.46,22500000.0
インタートレード,東証2部,情報・通信業,情報通信・サービスその他 ,2358.0,11.0,14.0,7.0,2199.0,1755.0,1478.0,248.0,2561.0,79.8,0.4,0.31,7444800.0
ラクーン,東証1部,卸売業,商社・卸売 ,2359.0,420.0,414.0,255.0,5566.0,1905.0,823.0,75.0,11597.0,34.2,13.86,4.84,18495900.0
シンバイオ製薬,東証JQG,医薬品,医薬品 ,2368.0,-2127.0,-2316.0,-2313.0,6878.0,5053.0,9948.0,450.0,11512.0,73.5,-50.36,-39.0,48988424.0
ポバール興業,名証2部,化学,素材・化学 ,2392.0,120.0,106.0,74.0,5242.0,4261.0,179.0,118.0,1581.0,81.3,1.74,1.44,1317400.0
ソーシャルワイヤー,マザーズ,情報・通信業,情報通信・サービスその他 ,2397.0,220.0,211.0,131.0,2280.0,866.0,309.0,595.0,7823.0,38.0,15.79,6.37,2830400.0
オウケイウェイヴ,名古屋セ,情報・通信業,情報通信・サービスその他 ,2411.0,167.0,182.0,123.0,1850.0,1481.0,984.0,23.0,4558.0,80.1,8.63,6.76,8732200.0
キタック,東証JQS,サービス業,情報通信・サービスその他 ,2430.0,226.0,187.0,126.0,5304.0,2117.0,479.0,2280.0,1904.0,39.9,6.07,2.35,5969024.0
テリロジー,東証JQS,卸売業,商社・卸売 ,2434.0,-105.0,-97.0,-99.0,2439.0,637.0,1182.0,750.0,5472.0,26.1,-14.82,-4.05,15680000.0
アテクト,東証JQS,化学,素材・化学 ,2483.0,181.0,137.0,51.0,5589.0,1439.0,757.0,3142.0,7759.0,25.7,3.6,1.09,4324800.0
ネクストジェン,東証JQG,情報・通信業,情報通信・サービスその他 ,2494.0,155.0,150.0,100.0,2606.0,1511.0,521.0,608.0,4078.0,58.0,6.94,3.76,2018600.0
スパンクリートコーポレーション,東証JQS,ガラス・土石製品,建設・資材 ,2506.0,134.0,148.0,92.0,7978.0,6266.0,3295.0,754.0,5217.0,78.5,1.48,1.16,9332400.0
日本エマージェンシーアシスタンス,東証JQS,サービス業,情報通信・サービスその他 ,2509.0,150.0,118.0,64.0,2079.0,707.0,303.0,767.0,2675.0,34.0,9.34,3.1,2463600.0
ニューテック,東証JQS,電気機器,電機・精密 ,2516.0,177.0,168.0,104.0,2724.0,1215.0,496.0,793.0,1771.0,44.6,8.81,3.81,2081000.0
MICS化学,東証JQS,化学,素材・化学 ,2549.0,171.0,182.0,125.0,3878.0,3186.0,774.0,21.0,2170.0,82.2,3.99,3.26,5850000.0
マーチャント・バンカーズ,東証2部,サービス業,情報通信・サービスその他 ,2555.0,17.0,-23.0,148.0,6398.0,3137.0,2701.0,2886.0,10223.0,49.0,4.99,2.52,27117556.0
バリューHR,東証1部,サービス業,情報通信・サービスその他 ,2571.0,395.0,358.0,215.0,5060.0,2045.0,471.0,1250.0,11342.0,40.4,11.0,4.33,2878700.0
G-FACTORY,マザーズ,不動産業,不動産 ,2579.0,447.0,440.0,290.0,3212.0,1492.0,372.0,515.0,6356.0,46.5,26.99,10.85,6635000.0
アドバンスト・メディア,マザーズ,情報・通信業,情報通信・サービスその他 ,2581.0,-77.0,-118.0,-103.0,6206.0,4705.0,4973.0,770.0,13588.0,75.8,-2.17,-1.65,15929405.0
イトーヨーギョー,東証2部,ガラス・土石製品,建設・資材 ,2589.0,45.0,54.0,-195.0,4119.0,2958.0,500.0,195.0,3514.0,71.8,-6.38,-4.79,3568000.0
NFKホールディングス,東証JQS,機械,機械 ,2590.0,-139.0,-142.0,-179.0,3696.0,2690.0,2131.0,13.0,2334.0,72.8,-6.45,-4.74,30713342.0
オルトプラス,東証1部,情報・通信業,情報通信・サービスその他 ,2646.0,-591.0,-647.0,-1540.0,1865.0,773.0,1501.0,810.0,11639.0,41.4,-114.41,-71.23,12679040.0
山田債権回収管理総合事務所,東証JQS,その他金融業,金融（除く銀行） ,2657.0,552.0,520.0,445.0,10231.0,2865.0,1084.0,4100.0,2160.0,28.0,16.55,4.52,4268000.0
倉元製作所,東証JQS,ガラス・土石製品,建設・資材 ,2659.0,-606.0,-648.0,-2001.0,4082.0,452.0,4885.0,3170.0,3842.0,11.1,-135.8,-29.23,16143170.0
日本通信,東証1部,情報・通信業,情報通信・サービスその他 ,2659.0,-1701.0,-1650.0,-2198.0,4792.0,1678.0,3253.0,1602.0,21352.0,35.0,-101.52,-41.65,154728239.0
エムビーエス,マザーズ,建設業,建設・資材 ,2660.0,250.0,294.0,207.0,2803.0,1556.0,335.0,316.0,4387.0,55.5,14.16,7.96,7275000.0
テクノアルファ,東証JQS,卸売業,商社・卸売 ,2662.0,4.0,87.0,-76.0,1876.0,1176.0,100.0,220.0,2763.0,62.7,-6.14,-4.02,2316000.0
リスクモンスター,東証2部,情報・通信業,情報通信・サービスその他 ,2686.0,381.0,386.0,247.0,5269.0,4169.0,1155.0,456.0,4315.0,79.1,6.06,4.85,4028500.0
アジア開発キャピタル,東証2部,証券、商品先物取引業,金融（除く銀行） ,2686.0,-84.0,-76.0,-173.0,3780.0,3088.0,3618.0,613.0,5556.0,81.7,-5.3,-4.07,396835456.0
ネクストウェア,東証JQS,情報・通信業,情報通信・サービスその他 ,2691.0,32.0,28.0,7.0,1424.0,678.0,1209.0,428.0,4347.0,47.6,1.12,0.49,13015222.0
不二硝子,東証JQS,ガラス・土石製品,建設・資材 ,2694.0,70.0,91.0,56.0,3568.0,2301.0,107.0,381.0,1047.0,64.5,2.45,1.59,2142000.0
北の達人コーポレーション,東証1部,食料品,食品 ,2696.0,542.0,538.0,356.0,2290.0,1544.0,212.0,341.0,25493.0,67.4,24.78,18.61,22168000.0
オークファン,マザーズ,情報・通信業,情報通信・サービスその他 ,2725.0,320.0,332.0,308.0,4465.0,2260.0,676.0,1535.0,8361.0,50.6,14.15,7.05,9895000.0
21LADY,名古屋セ,小売業,小売 ,2736.0,32.0,22.0,-5.0,921.0,29.0,189.0,44.0,2185.0,3.1,-27.78,-0.52,6959853.0
イントランス,マザーズ,不動産業,不動産 ,2743.0,569.0,459.0,284.0,7247.0,3104.0,1133.0,3548.0,7463.0,42.8,9.47,4.49,37131000.0
ジー・スリーホールディングス,東証2部,情報・通信業,情報通信・サービスその他 ,2760.0,299.0,272.0,253.0,1382.0,952.0,793.0,53.0,15740.0,68.9,31.59,16.92,76408601.0
誠建設工業,東証2部,不動産業,不動産 ,2791.0,251.0,263.0,174.0,4738.0,3199.0,578.0,1225.0,1491.0,67.5,5.61,3.9,2012000.0
アサヒ衛陶,東証2部,ガラス・土石製品,建設・資材 ,2803.0,-238.0,-250.0,-294.0,2248.0,1081.0,1403.0,787.0,1838.0,48.1,-23.96,-13.11,14940000.0
ケイブ,東証JQS,情報・通信業,情報通信・サービスその他 ,2820.0,-220.0,-229.0,-391.0,1048.0,620.0,1290.0,204.0,4986.0,59.2,-63.22,-36.9,2782600.0
