Team:選手名,OPS,IsoP,BABIP,BB/K,PA/K,AB/HR,SecA,TA,PS,RC27,年俸(推定)
広島カープ:田中　広輔,0.7436550181285196,0.11183892617449664,0.30994152046783624,0.6276595744680851,5.5638297872340425,37.25,0.29977628635346754,0.7433628318584071,14.709677419354838,5.440585411258088,4100
広島カープ:丸　佳浩,0.8429052723287316,0.17720745920745923,0.31563421828908556,0.8589743589743589,6.448717948717949,30.642857142857142,0.3682983682983683,0.8691588785046729,15.35483870967742,6.582347475518402,8500
広島カープ:菊池　涼介,0.8197478991596638,0.125,0.375,0.4125,6.1875,40.0,0.2159090909090909,0.780327868852459,11.478260869565217,6.154214067278292,8500
広島カープ:新井　貴浩,0.8822003984202984,0.17514084507042255,0.3793103448275862,0.5421686746987951,4.855421686746988,27.307692307692307,0.30140845070422534,0.8622047244094488,0.0,6.8962728559243125,6000
広島カープ:鈴木　誠也,0.9640552995391706,0.2488475073313784,0.34317343173431736,0.6964285714285714,6.928571428571429,20.058823529411764,0.3870967741935484,0.9918032786885246,14.068965517241379,7.8819379793814335,1700
広島カープ:エルドレッド,0.9606140640475405,0.26569098712446354,0.36538461538461536,0.3333333333333333,4.126984126984127,13.705882352941176,0.37339055793991416,0.9877300613496932,1.8888888888888888,7.9832557924003735,12500
広島カープ:ルナ,0.7196194435561241,0.08492452830188674,0.3413173652694611,0.5116279069767442,5.488372093023256,70.66666666666667,0.22169811320754718,0.6815286624203821,4.0,4.92376078094829,12000
広島カープ:石原　慶幸,0.4533869885982562,0.021476190476190482,0.22535211267605634,0.44680851063829785,4.74468085106383,414.0,0.1693121693121693,0.3950617283950617,0.0,1.400431066847426,10000
広島カープ:安部　友裕,0.773719165085389,0.1394838709677419,0.375,0.28,4.2,46.5,0.23655913978494625,0.7388059701492538,4.0,5.333333333333336,1080
広島カープ:松山　竜平,0.727622227280775,0.15161256544502616,0.2654320987654321,0.6521739130434783,9.0,27.285714285714285,0.23036649214659685,0.6482758620689655,0.0,4.513527099463961,2800
読売ジャイアンツ:長野　久義,0.7265971310258772,0.11815704387990761,0.3143631436314363,0.3793103448275862,7.913793103448276,54.125,0.18013856812933027,0.643312101910828,5.333333333333333,4.8649220650285345,17500
読売ジャイアンツ:坂本　勇人,0.9983734866087807,0.21845945945945938,0.3517915309446254,1.3877551020408163,9.040816326530612,20.555555555555557,0.4243243243243243,1.1274900398406376,13.655172413793103,9.604361597065468,25000
読売ジャイアンツ:村田　修一,0.8562749899265412,0.1815064935064935,0.3375796178343949,0.4745762711864407,7.135593220338983,27.5,0.2623376623376623,0.7836879432624113,1.8666666666666667,5.96177368237463,30000
読売ジャイアンツ:小林　誠司,0.5493620388738929,0.061914089347079065,0.2553191489361702,0.41818181818181815,6.0,145.5,0.14776632302405499,0.4430379746835443,1.3333333333333333,2.21385766026802,2600
読売ジャイアンツ:ギャレット,0.8783428226363009,0.24630555555555556,0.30049261083743845,0.45454545454545453,4.878787878787879,15.157894736842104,0.3611111111111111,0.8558139534883721,0.0,6.453775588617654,30000
読売ジャイアンツ:阿部　慎之助,0.8441464152465463,0.16593364928909954,0.3333333333333333,0.5294117647058824,6.9411764705882355,26.375,0.27014218009478674,0.8026315789473685,0.0,6.235681738654993,32600
読売ジャイアンツ:クルーズ,0.6714774281805745,0.15205882352941175,0.24705882352941178,0.25,7.678571428571429,25.5,0.19117647058823528,0.5493827160493827,0.0,3.29021724333522,24400
阪神タイガース:鳥谷　敬,0.6900627025503734,0.0904468085106383,0.2786885245901639,0.9859154929577465,6.394366197183099,62.666666666666664,0.3058510638297872,0.6912751677852349,8.0,4.475899299487248,40000
阪神タイガース:ゴメス,0.7988916148251994,0.1933960396039604,0.31316725978647686,0.37735849056603776,4.264150943396227,20.2,0.3069306930693069,0.7581699346405228,3.6363636363636362,5.421209768880484,20000
阪神タイガース:福留　孝介,0.8837399621502736,0.15121865889212827,0.36013986013986016,0.9433962264150944,7.528301886792453,42.875,0.30029154518950435,0.8991596638655462,0.0,7.518425091654751,20000
阪神タイガース:髙山　俊,0.6619440871860827,0.08261497326203204,0.3356164383561644,0.2125,4.9625,93.5,0.13903743315508021,0.55,4.444444444444445,3.8013132295029575,1500
阪神タイガース:北條　史也,0.6929418103448276,0.08556249999999999,0.3350253807106599,0.45,4.9,128.0,0.22265625,0.6345177664974619,2.6666666666666665,4.15968727490996,730
阪神タイガース:原口　文仁,0.8949802270697793,0.17472649572649573,0.36065573770491804,0.45454545454545453,6.136363636363637,26.0,0.3076923076923077,0.8855421686746988,0.0,7.1228601307189585,400
阪神タイガース:大和,0.5977115667837317,0.09867032967032965,0.2971014492753623,0.2,4.5777777777777775,182.0,0.16483516483516483,0.48,1.5,2.27575858394506,5300
阪神タイガース:江越　大賀,0.6823529411764706,0.16133333333333336,0.3142857142857143,0.2535211267605634,2.9014084507042255,25.714285714285715,0.2833333333333333,0.6275862068965518,5.090909090909091,3.7954966990291212,1600
阪神タイガース:西岡　剛,0.6884467265725289,0.04710526315789476,0.3393939393939394,0.52,8.2,414.0,0.15263157894736842,0.6071428571428571,0.0,4.416473519163762,10800
中日ドラゴンズ:大島　洋平,0.7641006503891673,0.1036548672566372,0.32917705735660846,0.7959183673469388,10.244897959183673,150.66666666666666,0.23008849557522124,0.7308868501529052,5.181818181818182,5.649480247683962,9000
中日ドラゴンズ:ビシエド,0.8296329377738081,0.2083921568627451,0.2786377708978328,0.6567164179104478,6.880597014925373,19.428571428571427,0.3333333333333333,0.7993527508090615,1.9090909090909092,5.787020023360581,17000
